topic_id,topic_label,title_count,avg_assignment_confidence,low_confidence_share,topic_quality,dominant_genres,top_keywords,sample_titles
19,Low-Support Mixed Cluster for Manual Review,12,0.6788,1.0,needs_review,"Drama, Crime, Romance, Thriller, Music","glass, ifc, butterfly, jen, cracks, harwood, shattered, breakdown, cheung, notes",Fracture; Broken; Cracks; Breaking News; Broken; Shattered
0,"Crime, Investigation, and Procedural Stories",644,0.6017,0.0093,strong,"Crime, Drama, Mystery, Thriller, Action","television crime, detective, procedural, american crime, crime documentary, police procedural, thriller television, cbs, itv, crimes",Catching Killers; True Detective; Unsolved Mysteries; The Code; The Break; American Crime
1,Indian Cinema and Regional Language Stories,615,0.6281,0.0049,strong,"Drama, Action, Comedy, Crime, Romance","hindi, hindi language, indian hindi, tamil, khan, telugu, kapoor, raj, tamil language, indian tamil",In Your Name; Sanam Teri Kasam; Vettaiyaadu Vilaiyaadu; Chakravyuh; Malikappuram; Writer Padmabhushan
2,"Romance, Relationships, and Romantic Comedy",533,0.551,0.03,strong,"Drama, Romance, Comedy, Biography, Music","american romantic, romantic comedy, comedy romance, situations love, music romance, romance combination, comedy film, wedding, beauty, american coming","Crazy, Stupid, Love.; Things You Can Tell Just by Looking at Her; The Names of Love; Love Today; Her; Stuck in Love."
3,"Thriller, Crime, and High-Stakes Action",491,0.6122,0.0061,strong,"Drama, Crime, Thriller, Action, Mystery","thriller combination, premise action, premise crime, pieces lawbreaking, compromise suspense, cop, crime documentary, material crime, material action, mystery combination",AKA; Yeh Saali Zindagi; Sethupathi; Maayavan; Section 375; Naandhi
4,"Sitcoms, Comedy Ensembles, and Light TV",490,0.5278,0.0939,strong,"Comedy, Drama, Romance, Animation, Crime","sitcom, sitcom created, television sitcom, comedy television, talk, abc, american television, american sitcom, hosted, aired american",Flack; The Guest Book; As If; Getting On; Episodes; Selfie
5,"Horror, Supernatural Threats, and Dark Suspense",478,0.555,0.0293,strong,"Drama, Thriller, Mystery, Horror, Crime","horror film, horror mystery, horror thriller, thriller film, combination fear, terror secrets, action horror, psychological horror, mystery sci, horror sci",Saw; In Search of Darkness; Insidious; Prisoners; Sinister; Get Out
6,"Romance, Relationships, and Romantic Comedy",469,0.6169,0.0021,strong,"Drama, Comedy, Romance, Crime, Thriller","romance combination, material drama, asserted drama, tvmovie drama, settings drama, family combination, premise biography, tvepisode, asserted comedy, music combination",Set It Up; What Will People Say; Someone I Used to Know; Intimacy; The Half of It; The Days
7,"Science Fiction, Technology, and Speculative Worlds",467,0.5468,0.0664,strong,"Drama, Action, Sci-Fi, Mystery, Adventure","renewed, season premiered, second season, star trek, trek, final season, channel, fiction television, mystery sci, game reality",The Event; Emergence; Crisis; Explained; From; Ascension
8,"Thriller, Crime, and High-Stakes Action",465,0.5043,0.1484,strong,"Drama, Crime, Biography, Action, Comedy","thriller film, skin, jesse, significance lawbreaking, harry potter, biographical crime, damon, potter, downey, jury","Roman J. Israel, Esq.; Widows; The Report; Road to Perdition; Stranger Than Fiction; American Gangster"
9,"Documentary, Reality, and True-Life Stories",435,0.5264,0.1057,strong,"Documentary, Drama, History, Biography, War","premise documentary, documentary combination, documentary history, biography documentary, history war, conflict military, explanation historical, material documentary, significance nonfiction, 2020 documentary",The Phenomenon; The East; R.M.N.; The Outpost; Lessons of Darkness; This Is Not a Film
11,"Sitcoms, Comedy Ensembles, and Light TV",415,0.5054,0.1759,strong,"Drama, Comedy, Romance, Crime, Mystery","second season, sitcom, canceled, renewed, sisters, ginger, television miniseries, american teen, renewed second, teen drama",United States of Al; Washington Heights; The Client List; Maggie; Riviera; Doubt
12,International and Auteur Drama,410,0.5119,0.1366,strong,"Drama, Comedy, Biography, Romance, Music","spanish, foreign, pedro, best foreign, academy awards, foreign language, language film, françois, danish, pierre",Tutta la vita davanti; The Italian; Reality; Taxidermia; Official Competition; Still Time
